Question,Answer
외국인들이 이용하는 디스커버서울패스로 야간코스 이용도 가능한지 문의드립니다.,"디스커버서울패스로 이용시, 사전예약이 불가합니다. 이용당일 매표소 오셔서 구매 후 이용하실 수 있습니다 (Tour1 or Tour4),단, 야경투어의 경우는 좌석이 한정되어있어 당일 이용이 불가할 수도 있으니."
May I collect my tickets today for tomorrow's tour?,Ticket exchange can only be exchanged on the day of use.
기상악화로 야경을 즐길 수 없을 정도의 날씨면 어떻게 되나요? ,악천후로 인해 운행이 불가할 정도가 되면 저희가 최대한 사전에 안내를 드릴예정입니다. 날씨가 불안해서 이용이 염려스러우시다면 고객센터로 변경이나 취소문의 주시기 바랍니다. 취소 시에는 취소 정책에 따라 수수료가 적용될 수 있습니다.
탑승 할려고 하는인원은3명 이고 1명은 성인 에 경증장애인. 두명은 청소년에 경증 장애인 1명  중증장애인 1명 입니다. 예약을 성인1명에 청소년2명으로 예약 해야 합니까?,문의 주신대로 성인1명 그리고 소인2명으로 예약진행해주시면 됩니다.
버스 예약 후 탑승 인원이 줄어들 경우 일부 취소가 가능한가요?,고객님 티켓을 개시한 이후는 환불이 불가합니다. 탑승전 (즉 이용전) 부분환불 가능하십니다.
내일 야간 버스투어 예약 했는데 오늘 같이 폭우 내리면 어떻게 되나요?,"운행이 불가하지 않은 이상 정상운행됩니다. 버스 운행이 가능한데 취소하시는 경우는 부득이 취소 수수료도 동일 적용됩니다. 만일 운행이 불가할정도인 경우, 운행취소가 확정되는대로 고객님들께 안내드릴예정입니다."
국립고궁박물관도 갈수있는 서울시티투어버스 예매는 없는걸까요?? 현장예매만 가능한가요?,국립고궁박물관 관람을 원할시 저희 시티버스 노선중 경복궁에서 하차하시면 됩니다. 시티버스외 모든 박물관 및 고궁 예약은 해당 홈피에서  예약이 가능합니다.
아직예약안했는데 내일비오는데 운영하나요?,눈/비로 인해 운행이 완전 불가한 경우가 아니고는 정상영업합니다.
"외국인 2명이고 디스커버서울패스로 무료이용가능하다고 들었는데, 야경투어로 탑승 전날에 티켓오피스에서 티켓발권할 수 있나요? 감사합니다","디스커버서울패스로 이용시, 사전예약이 불가합니다. 이용당일 매표소 오셔서 구매 후 이용하실 수 있습니다. 단, 야경투어의 경우는 좌석이 한정되어있어 당일 이용이 불가할 수도 있으니."
What time are the 광화문 티켓박스  opening hours?,Our ticket office opens at 9 a.m.
Is there a ramp at the bus entrance for wheelchair?,"Sorry, we don't have wheelchair ramps."
당일 야간 투어를 예약할 수 있나요?,"야간투어의 경우 당일 잔여석이 있는 경우 이용하실 수 있습니다. 사전예약제이며, 서비스는 선착순으로 제공됩니다. 당일 잔여석은 고객센터 으로 이용전 문의 먼저 부탁드립니다."
I am wondering if all tours are accessible for wheelchair users.,"Wheelchairs cannot go up to the second floor, but they can get on the first floor of the double-decker bus."
버스 내부에 화장실이 있나요?,버스내부에는 화장실이 없습니다.
버스 내 음식물 섭취에 대한 규칙은 어떻게 되나요?,버스 내 음식물 반입은 금지되어 있습니다.
"There is a storm/downpour warning for tonight starting 8pm. Does this mean the night time bus might be cancelled? And if so, how would we be notified?","The bus usually operates normally in the rain, but if a customer who is concerned about the weather wants to cancel, a cancellation fee will be charged according to the cancellation policy. If the bus is unable to operate due to the weather, we will inform you by email."
I want to know what time is the ticket office opens for the Red tiger bus line.,We are open at 9 am.
Can I redeem ticket for the night course in the morning with Discover Seoul Pass?,You can redeem ticket for the night course in the morning with Discover Seoul Pass.
소인으로 결제하면 되는 건가요?,네 소인결제 진행해주시면 됩니다.
