question,answer
"안녕하세요. 
외국인들이 이용하는 디스커버서울패스로 야간코스 이용도 가능한지 문의드립니다.","안녕하세요.

디스커버서울패스로 이용시, 사전예약이 불가합니다.

이용당일 매표소 오셔서 구매 후 이용하실 수 있습니다. (Tour1 or Tour4)

단, 야경투어의 경우는 좌석이 한정되어있어 당일 이용이 불가할 수도 있으니,

이 점 양해부탁드립니다.

- 서울시티투어버스 -"
"May I collect my tickets today for tomorrow's tour?
Thank you.","This is SeoulCityTourBus

Ticket exchange can only be exchanged on the day of use.

Thanks.

02)777-6090. www.seoulcitybus.com"
"예약에 관련된 문의는 아래 내용을 채워주세요

예약번호 :D20240706164630722138
예약자명 :오윤미
연락처 :01056507386

문의내용 :기상악화로 야경을 즐길 수 없을 정도의 날씨면 어떻게 되나요?? 비가 적당히 오면 비가 와도 운치있어 좋을꺼 같은데 비가 너무 많이 오면 안전이 좀 걱정되서요","안녕하세요.

악천후로 인해 운행이 불가할 정도가 되면 저희가 최대한 사전에 안내를 드릴예정입니다.

하지만,날씨는 사전예측이 어려운바 이용당일 안내가 나갈 수도 있습니다.

날씨가 불안해서 이용이 염려스러우시다면 고객센터로 변경이나 취소문의 주시기 바랍니다.

(단, 취소의 경우는 사전에 날씨를 예측할 수 없으므로 취소시점의 규정에따라 수수료가 발생될 수 있습니다.)

이용에 참고 부탁드립니다.

- 서울시티투어버스 -"
"예약에 관련된 문의는 아래 내용을 채워주세요

예약번호 :
예약자명 :
연락처 :

문의내용 :탑승 할려고 하는인원은3명 이고 1명은 성인 에 경증장애인  
두명은 청소년에 경증 장애인 1명  중증장애인 1명 입니다. 예약을 성인1명에 청소년2명으로 예약 해야 합니까?","안녕하세요.

저희는 현재 도심고궁 코스 할인 진행중으로 중복할인이 적용되는 부분은 없습니다.
문의 주신대로 성인1명/소인2명으로 예약진행해주시면 됩니다.

이용에 참고 부탁드립니다.

- 서울시티투어버스 -"
버스 예약 후 탑승 인원이 줄어들 경우 일부 취소가 가능한가요?,"안녕하세요.

고객님 티켓을 개시한 이후는 환불이 불가합니다.

탑승전 (즉 이용전) 부분환불 가능하십니다.

자세한 문의는  02-777-6090으로 문의주세요.

- 서울시티투어버스 -"
"예약에 관련된 문의는 아래 내용을 채워주세요

예약번호 :D20240711164936473577
예약자명 :김지연
연락처 :
010 2670 3621
문의내용 :
내일 야간 버스투어 예약 했는데 오늘 같이 폭우 내리면 어떻게 되나요 ?","안녕하세요.

운행이 불가하지 않은 이상 정상운행됩니다.

버스 운행이 가능한데 취소하시는 경우는 부득이 취소 수수료도 동일 적용됩니다.

만일 운행이 불가할정도인 경우, 운행취소가 확정되는대로 고객님들께 안내드릴예정입니다.

더 궁금하신 사항은 고객센터 02-777-6090으로 문의 부탁드립니다.

- 서울시티투어버스 -"
국립고궁박물관도 갈수있는 서울시티투어버스 예매는 없는걸까요?? 현장예매만 가능한가요?,"안녕하세요.서울시티투어입니다.

국립고궁박물관 관람을 원할시 저희 시티버스 노선중 경복궁에서 하차하시면 됩니다

시티버스외 모든 박물관 및 고궁 예약은 해당 홈피에서  예약이 가능합니다

저희 시티버스 예약은 홈페이지로 예약 또는 당일 현장 구매 가능합니다

02)777-6090. www.seoulcitybus.com"
"예약에 관련된 문의는 아래 내용을 채워주세요

예약번호 :
예약자명 :
연락처 :

문의내용 :
아직예약안했는데 내일비오는데 운영하나요?","안녕하세요.

눈/비로 인해 운행이 완전 불가한 경우가 아니고는 정상영업합니다.
이용에 참고 부탁드립니다.

- 서울시티투어버스 -"
"예약에 관련된 문의는 아래 내용을 채워주세요

예약번호 :
예약자명 :
연락처 :

문의내용 :
외국인 2명이고 디스커버서울패스로 무료이용가능하다고 들었는데, 야경투어로 탑승 전날에 티켓오피스에서 티켓발권할 수 있나요? 감사합니다","안녕하세요.

디스커버서울패스로 이용시, 사전예약이 불가합니다.
이용당일 매표소 오셔서 구매 후 이용하실 수 있습니다.

단, 야경투어의 경우는 좌석이 한정되어있어 당일 이용이 불가할 수도 있으니,
이 점 양해부탁드립니다.

Hello.

If you use Discover Seoul Pass, you cannot make a reservation in advance.
You can use it after you come to the ticket office on the day of use.

However, in the case of night view tours, seats are limited, so you may not be able to use them on the same day,
Please understand this.

- Seoul City Tour Bus -"
"Name： Benson Hsu
Email : bensonhsu7@gmail.com

内容：What time are the 광화문 티켓박스  opening hours?

Thanks","Hello.

Our ticket office opens at 9 a.m. on the business day.

Please refer to it for your use.

- Seoul City Tour Bus -"
